,qu
51.80%,80.90277778
51.90%,80.92592593
52.00%,80.94907407
52.10%,80.97222222
52.20%,80.99537037
52.30%,81.01851852
52.40%,81.04166667
52.50%,81.06481481
52.60%,81.11111111
52.70%,81.11111111
52.80%,81.14583333
52.90%,81.18055556
53.00%,81.19444444
53.10%,81.21527778
53.20%,81.25
53.30%,81.27314815
53.40%,81.2962963
53.50%,81.31944444
53.60%,81.34259259
53.70%,81.36111111
53.80%,81.38888889
53.90%,81.41203704
54.00%,81.43518519
54.10%,81.45833333
54.20%,81.48148148
54.30%,81.5
54.40%,81.52777778
54.50%,81.55092593
54.60%,81.57407407
54.70%,81.59722222
54.80%,81.63194444
54.90%,81.64351852
55.00%,81.66666667
55.10%,81.68981481
55.20%,81.71296296
55.30%,81.73611111
55.40%,81.75925926
55.50%,81.78240741
55.60%,81.80555556
55.70%,81.83333333
55.80%,81.85185185
55.90%,81.875
56.00%,81.89814815
56.10%,81.9212963
56.20%,81.94444444
56.30%,81.99074074
56.40%,82.01388889
56.50%,82.02777778
56.60%,82.04861111
56.70%,82.06018519
56.80%,82.08333333
56.90%,82.11805556
57.00%,82.15277778
57.10%,82.17592593
57.20%,82.19444444
57.30%,82.22222222
57.40%,82.24537037
57.50%,82.26475694
57.60%,82.27777778
57.70%,82.30555556
57.80%,82.32638889
57.90%,82.36111111
58.00%,82.38425926
58.10%,82.39583333
58.20%,82.41666667
58.30%,82.44444444
58.40%,82.47222222
58.50%,82.5
58.60%,82.52314815
58.70%,82.5462963
58.80%,82.55555556
58.90%,82.58333333
59.00%,82.61111111
59.10%,82.63888889
59.20%,82.66203704
59.30%,82.67361111
59.40%,82.69444444
59.50%,82.72222222
59.60%,82.74305556
59.70%,82.77777778
59.80%,82.77777778
59.90%,82.80555556
60.00%,82.83333333
60.10%,82.84722222
60.20%,82.88194444
60.30%,82.91666667
60.40%,82.91666667
60.50%,82.94444444
60.60%,82.96296296
60.70%,82.98611111
60.80%,83.00925926
60.90%,83.03240741
61.00%,83.05555556
61.10%,83.0787037
61.20%,83.10185185
61.30%,83.125
61.40%,83.14814815
61.50%,83.1712963
61.60%,83.19444444
61.70%,83.22222222
61.80%,83.24074074
61.90%,83.26388889
62.00%,83.28703704
62.10%,83.31018519
62.20%,83.33333333
62.30%,83.35648148
62.40%,83.37962963
62.50%,83.40277778
62.60%,83.42592593
62.70%,83.44444444
62.80%,83.47222222
62.90%,83.47222222
63.00%,83.5
63.10%,83.51851852
63.20%,83.54166667
63.30%,83.56481481
63.40%,83.58796296
63.50%,83.61111111
63.60%,83.63425926
63.70%,83.65740741
63.80%,83.68055556
63.90%,83.69444444
64.00%,83.71527778
64.10%,83.72685185
64.20%,83.75
64.30%,83.77777778
64.40%,83.80555556
64.50%,83.81944444
64.60%,83.84259259
64.70%,83.86574074
64.80%,83.88888889
64.90%,83.91203704
65.00%,83.92361111
65.10%,83.94444444
65.20%,83.97222222
65.30%,83.98148148
65.40%,84.00462963
65.50%,84.02777778
65.60%,84.05092593
65.70%,84.07407407
65.80%,84.09722222
65.90%,84.12037037
66.00%,84.13194444
66.10%,84.16666667
66.20%,84.16666667
66.30%,84.19444444
66.40%,84.22222222
66.50%,84.23611111
66.60%,84.27083333
66.70%,84.28240741
66.80%,84.30555556
66.90%,84.33889583
67.00%,84.36111111
67.10%,84.38888889
67.20%,84.40972222
67.30%,84.4212963
67.40%,84.44444444
67.50%,84.47222222
67.60%,84.5
67.70%,84.52545833
67.80%,84.54861111
67.90%,84.56018519
68.00%,84.58333333
68.10%,84.60809722
68.20%,84.62962963
68.30%,84.65277778
68.40%,84.67592593
68.50%,84.69907407
68.60%,84.72222222
68.70%,84.74537037
68.80%,84.76851852
68.90%,84.79166667
69.00%,84.80555556
69.10%,84.83333333
69.20%,84.86111111
69.30%,84.88425926
69.40%,84.89583333
69.50%,84.91666667
69.60%,84.94444444
69.70%,84.96527778
69.80%,85
69.90%,85
70.00%,85.03472222
70.10%,85.06944444
70.20%,85.09259259
70.30%,85.11111111
70.40%,85.11574074
70.50%,85.13888889
70.60%,85.16666667
70.70%,85.18518519
70.80%,85.20833333
70.90%,85.23148148
71.00%,85.25462963
71.10%,85.27777778
71.20%,85.30092593
71.30%,85.32407407
71.40%,85.34722222
71.50%,85.37037037
71.60%,85.39351852
71.70%,85.41666667
71.80%,85.43981481
71.90%,85.46296296
72.00%,85.48611111
72.10%,85.50925926
72.20%,85.52777778
72.30%,85.55555556
72.40%,85.55555556
72.50%,85.59027778
72.60%,85.625
72.70%,85.63888889
72.80%,85.65972222
72.90%,85.69444444
73.00%,85.69444444
73.10%,85.72222222
73.20%,85.75
73.30%,85.77777778
